True Solar,True Wind,Predicted Mean Solar,Predicted Mean Wind,Predicted Std. Dev. Solar,Predicted Std. Dev. Wind
0.0,0.0014470973,-0.014652056,0.00605412,0.05303107,0.02406072
0.0,0.0016433191,-0.014678304,0.00606014,0.053024877,0.024066782
0.0,0.0016682278,-0.014659674,0.0060671363,0.05301825,0.024069231
0.0,0.0014129312,-0.014614467,0.006074533,0.05301099,0.024069106
0.0,0.0014469423,-0.014544619,0.006081772,0.053003315,0.024066612
0.0,0.001426899,-0.01476302,0.006077435,0.05299815,0.02408052
0.0,0.001274592,-0.01484466,0.0060662706,0.052998528,0.024086425
0.0,0.0011710929,-0.014682426,0.0060232794,0.05302396,0.024067678
0.0,0.001169362,-0.014555266,0.006001273,0.053034075,0.024052868
0.0,0.0011834758,-0.014394387,0.005992975,0.053031206,0.02403999
0.0,0.0012157112,-0.014206016,0.005994052,0.053022142,0.024026604
0.0,0.0010511824,-0.014392637,0.005984209,0.053022463,0.024033364
0.0,0.000964526,-0.014373554,0.0059426953,0.05304567,0.02402729
0.0,0.0008321118,-0.014167364,0.0059087803,0.053061806,0.024013104
0.0,0.00096742524,-0.013913932,0.0058962684,0.053065527,0.023999974
0.0,0.0009124776,-0.0136074815,0.005895134,0.05306604,0.023981962
0.0,0.0007361806,-0.013259661,0.005888086,0.053072985,0.023960408
0.0,0.0007556216,-0.01313061,0.0058354232,0.053114865,0.02395171
0.0,0.00076884084,-0.01304297,0.0058048875,0.05313759,0.023945656
0.0,0.0006780036,-0.012766748,0.005793523,0.0531495,0.023930445
0.0,0.0006345402,-0.012313441,0.005755291,0.053181276,0.023900224
0.0,0.0005008096,-0.011877231,0.005718323,0.053217627,0.023873061
0.0,0.00055440405,-0.011482064,0.0056975298,0.053258605,0.023853559
0.0,0.0004957858,-0.011351672,0.0056802477,0.05328475,0.02384889
0.0,0.00046153704,-0.0110044805,0.005630546,0.05334836,0.023839219
0.0,0.000428966,-0.010577241,0.0055854837,0.053421665,0.023828043
0.0,0.00053167815,-0.010096627,0.0055588996,0.05348029,0.023818377
0.0,0.0004686057,-0.009549883,0.0055406224,0.053535637,0.023808345
0.0,0.0004735464,-0.008937922,0.005524391,0.05360331,0.02379379
0.0,0.0005519982,-0.008588526,0.005504174,0.053664066,0.023789266
0.0,0.0005268737,-0.008079998,0.0054816133,0.05373589,0.023778154
0.0019442238,0.00061490835,-0.004608936,0.0053725154,0.054239668,0.023687176
0.0119790295,0.0005686573,0.0036356535,0.0050787665,0.055377956,0.023481999
0.01798437,0.00058739184,0.01723168,0.0045678867,0.058431804,0.023527363
0.023950776,0.0006172285,0.03814903,0.0040695053,0.06413438,0.0242547
0.03590485,0.00077340123,0.064068824,0.003599,0.070145614,0.024901805
0.054096475,0.0006894017,0.09471361,0.0033560141,0.07409545,0.025403032
0.06842227,0.000809816,0.12992254,0.0031930648,0.076616116,0.025987338
0.0960171,0.001160357,0.08862741,0.0018929401,0.072685115,0.025438188
0.08420722,0.0016172935,0.14069742,0.0033975989,0.07702103,0.026079869
0.100112826,0.0023739904,0.055559345,0.0028108242,0.06809715,0.024597747
0.17532587,0.0029886523,0.045353852,0.0041445163,0.06667995,0.024209045
0.16628788,0.004392698,0.1768547,0.009809734,0.078835264,0.025629682
0.16303715,0.004730827,0.17676081,0.010358262,0.07952636,0.02539724
0.26683,0.005596504,0.14655899,0.010298385,0.07865202,0.024761477
0.32544625,0.0068226377,0.29098183,0.016062735,0.08227991,0.027115308
0.35560998,0.0081319865,0.41201106,0.019001039,0.08707197,0.030149002
0.38502625,0.009734254,0.46724424,0.019146279,0.089076474,0.031851508
0.41338676,0.01159581,0.49781135,0.018703843,0.08965227,0.032697115
0.4411415,0.013251029,0.51809543,0.01832862,0.09013016,0.033197343
0.46742025,0.015637003,0.5354439,0.018328257,0.090636715,0.033726215
0.49187997,0.016304493,0.55171835,0.018814566,0.09119891,0.03434754
0.515877,0.019740418,0.5678257,0.019826934,0.09185763,0.035250783
0.5370422,0.022409037,0.58627725,0.021315543,0.091786854,0.03644091
0.55795497,0.023347085,0.60332656,0.0228512,0.091383226,0.037634123
0.577345,0.029003771,0.61911345,0.025141979,0.09125805,0.038950287
0.596154,0.030401573,0.63430864,0.028225325,0.09160071,0.040432964
0.6135635,0.034975633,0.6490185,0.031989817,0.09234684,0.042138834
